Identifior,SectionEditing,PageTemplates,DoubleClickEdit,Toolbar,WYSIWYGEditing,AccessKeys,AutoSignature
Wicked,Yes,No,No,No,No,No,XHTML1_0Transitional
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Yes,Yes,Yes,X3,X3,Yes,HTML4
Incentive,Yes,Yes,No,Yes,Yes,Yes,Yes
WalaWiki,No,XHTML1_0Strict,Yes,PrintCSS,No,No,X2
WikiSH,PrintCSS,Yes,No,No,No,Yes,No
PhpWiki,Yes,Yes,Yes,Yes,Yes,X3,XHTML1_0Transitional
Sycamore,Yes,Yes,Yes,No,No,No,HTML4
MicKI,No,No,HTML4,No,No,No,No
PersonalPPCWiki,No,Yes,No,No,Yes,HTML4,Yes
Foswiki,Yes,No,X3,Yes,X3,Yes,XHTML1_0Transitional
LunaWiki,No,XHTML1_0Transitional,Yes,No,Yes,No,No
DrupalWiki,Yes,X3,X2,X3,X3,Yes,XHTML1_0Transitional
VQWiki,Yes,Yes,Yes,No,No,No,XHTML1_0Transitional
CodeBeamer,X3,No,HTML4,Yes,PrintCSS,X2,Yes
ProjectForum,Yes,No,No,No,Yes,No,HTML4
JSPWiki,Yes,Yes,Yes,No,No,No,XHTML1_0Transitional
Wikepage,Yes,No,No,No,No,No,XHTML1_0Transitional
Luminotes,Yes,N_A,No,Yes,Yes,Yes,No
Wikispaces,Yes,No,Yes,Yes,Yes,Yes,Yes
WikiCSharp_NET,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Instiki,Yes,Yes,Yes,No,No,No,XHTML1_1
TWiki,Yes,No,X3,Yes,No,Yes,XHTML1_0Transitional
TiddlyWiki,Yes,Yes,Yes,X3,X3,X3,XHTML1_0Strict
GitWiki,Yes,No,No,No,No,No,XHTML1_1
Wagn,Yes,Yes,Yes,Yes,Yes,No,Yes
MoinMoin,Yes,Yes,Yes,Yes,No,Yes,HTML4
ScrewTurnWiki,Yes,Yes,Yes,No,No,No,XHTML1_0Transitional
ButorWiki,N_A,N_A,HTML4,Yes,No,X2,Yes
Jacwiki,No,XHTML1_0Transitional,Yes,No,Yes,No,No
GeniusWiki,No,Yes,No,Yes,Yes,Yes,N_A
Zwiki,Yes,No,X2,X2,X3,No,N_A
ProntoWiki,XHTML1_0Transitional,Yes,N_A,Yes,No,No,No
ClearWiki,Yes,N_A,N_A,Yes,Yes,No,No
WikiCrowd,Yes,No,No,No,No,No,XHTML1_0Strict
Giki,HTML4,Yes,No,Yes,No,No,No
PicoWiki,No,No,No,No,No,No,Link
GeboGebo,Yes,Yes,Yes,No,X3,No,HTML4
Anwiki,Yes,No,No,No,No,No,XHTML1_0Strict
Springnote,Yes,No,Yes,Yes,Yes,Yes,No
WikyBlog,No,No,XHTML1_0Transitional,Yes,No,Yes,Yes
BoltWire,Yes,Yes,Yes,X2,Yes,Yes,XHTML1_0Transitional
Wikia,N_A,Yes,N_A,N_A,N_A,Keywords,N_A
PageWork,Yes,Yes,Yes,No,No,No,XHTML1_0Strict
Wetpaint,No,N_A,No,Yes,No,Yes,Yes
ZohoWiki,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IkeWiki,No,No,XHTML1_0Transitional,Yes,PrintView,Yes,Yes
Riki,Yes,Yes,Yes,No,No,No,N_A
ConnectedText,Yes,No,Yes,No,No,Yes,XHTML1_0Transitional
TikiWikiCMSGroupware,Yes,Yes,Yes,Yes,Yes,Yes,XHTML1_0Transitional
Netcipia,No,Yes,Yes,Yes,Yes,Yes,Yes
X3FWiki,Yes,Yes,Yes,Yes,Yes,Yes,HTML4
FlexWiki,No,No,HTML4,Yes,PrintView,Yes,Yes
WikiToolkit,N_A,N_A,N_A,N_A,N_A,X3,X3
CentralDesktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MiniWiki,No,No,No,No,No,No,XHTML1_0Strict
MojoMojo,Yes,Yes,X4,N_A,N_A,N_A,XHTML1_0Transitional
JAMWiki,Yes,No,Yes,No,No,No,XHTML1_0Transitional
Pimki,N_A,XHTML1_1,Yes,PrintView,Yes,Yes,N_A
Friki,Yes,No,X2,No,No,No,No
Daisy,No,No,XHTML1_0Transitional,Yes,PrintView,Yes,Yes
CorendalWiki,No,No,No,Yes,No,No,XHTML1_0Transitional
Wikidot,Yes,Yes,No,Yes,No,Yes,Yes
Confluence,X3,Yes,No,Yes,Yes,Yes,No
