Identifior,UnicodeSupport,RighttoLeftSupport,InterfaceLanguages,Emailnotification,Comments,Categories,Namespaces,PageRedirection,ConflictHandling,Search,WikiFarming,StructuredData
MindTouch,Yes,No,Azcsdeenesfrglitjakakkkymnmsnlnoplptrusasrsvtturuzzh,Yes,Flat,Yes,Yes,Yes,ConflictResolution,FullText,Yes,Yes
DokuWiki,X3,PageLocking,FullText,X4,X3,X2,Yes,Yes,Yes,No,Yes,Yes
BusinessWiki,Yes,Yes,Deenpl,Yes,Threaded,Yes,Yes,Yes,ConflictResolution,FullText,Yes,N_A
ProWiki,Yes,ConflictResolution,FullText,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
UniWakka,FullText,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Complex,No
WikiNi,Yes,ConflictDetection,FullText,N_A,N_A,Yes,Yes,Yes,Yes,No,N_A,No
Wiclear,No,ConflictResolution,FullText,Yes,Yes,Yes,No,No,Yes,No,Optional,No
MediaWiki,Yes,ConflictResolution,FullText,X3,X3,No,Yes,Yes,Yes,No,Yes,No
KeheiWiki,Yes,PageLocking,FullText,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
PodWiki,PageLocking,FullText,Yes,Yes,Yes,Yes,No,Yes,No,Plugin,No,Simplecomplex
XWiki,Yes,PageLocking,FullText,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Yawiki,No,PageLocking,FullText,Yes,Yes,Yes,N_A,N_A,Yes,No,Some,No
WackoWiki,Yes,PageLocking,FullText,X4,X3,X2,Yes,Yes,Yes,No,Yes,Yes
MetadotWiki,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Javascriptnoserverside,Yes,Yes
LionWiki,Yes,ConflictDetection,FullText,No,No,No,Yes,X3,No,No,Yes,No
Oddmuse,Yes,ConflictResolution,FullText,X3,X3,X2,X2,Yes,Yes,X3,X3,X3
ErfurtWiki,X3,PageLocking,FullText,X2,No,Yes,Yes,Yes,X3,X3,X4,Yes
Telepark_wiki,N_A,PageLocking,FullText,N_A,N_A,N_A,Yes,N_A,N_A,N_A,Yes,N_A
Pier,Yes,N_A,FullText,N_A,N_A,N_A,N_A,N_A,N_A,N_A,All,N_A
PAUX,X2,ConflictResolution,FullText,X2,Yes,X2,Yes,Yes,Yes,Yes,Yes,Yes
TrikiWiki,X3,PageLocking,No,Yes,No,X3,Yes,No,No,No,Yes,No
SharePointWikiPlus,ConflictDetection,FullText,Yes,Yes,N_A,Yes,Yes,X2,No,Yes,Yes,Yes
Swirrl,No,No,No,No,No,No,No,No,Yes,No,No,N_A
JOTWiki,PageLocking,FullText,No,Yes,No,No,Yes,Yes,Yes,All,No,Simple
WiGit,No,No,N_A,N_A,Yes,Yes,No,No,No,No,No,N_A
Cospire,N_A,Yes,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Yes
WikiDoc,ConflictResolution,FullText,Yes,Yes,Yes,Yes,No,Yes,No,All,No,Simple
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Some,N_A,Simple
PortiliTeamWiki,No,No,FullText,No,No,No,Yes,No,No,No,Yes,N_A
WikiASP,ConflictResolution,N_A,Yes,Yes,N_A,Yes,N_A,No,N_A,Optional,N_A,Simple
Clearspace,Yes,ConflictResolution,FullText,No,Yes,Yes,Yes,No,Yes,Yes,Some,No
PmWiki,Yes,ConflictResolution,FullText,Yes,Yes,X2,Yes,Yes,Yes,No,Yes,Yes
BrainKeeper,N_A,N_A,No,N_A,Yes,Yes,N_A,Yes,Yes,N_A,Yes,Yes
Ikiwiki,No,ConflictResolution,FullText,Yes,N_A,X3,Yes,Yes,X3,X3,Yes,Yes
BLADEWiki,No,No,FullText,N_A,N_A,No,Yes,Yes,Yes,N_A,Yes,Yes
Wicked,No,No,FullText,N_A,N_A,Yes,Yes,Yes,Yes,No,Yes,Yes
CanvasWiki,N_A,N_A,N_A,N_A,N_A,Yes,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Yes,ConflictDetection,FullText,Yes,X3,No,Yes,Yes,Yes,No,Yes,Yes
Incentive,Yes,Yes,Ensv,Yes,Threaded,Yes,No,Yes,ConflictDetection,FullText,Yes,Yes
WalaWiki,ConflictResolution,No,X2,X2,Yes,No,No,Yes,N_A,No,No,Simple
WikiSH,No,Yes,Yes,X2,No,No,No,No,No,No,Simple,No
PhpWiki,Yes,ConflictResolution,FullText,Yes,X4,Yes,Yes,Yes,Yes,No,Yes,Yes
Sycamore,Yes,ConflictResolution,FullText,Yes,X4,No,Yes,Yes,Yes,No,No,No
MicKI,Yes,No,No,No,No,No,No,No,Yes,No,No,No
PersonalPPCWiki,N_A,FullText,Yes,N_A,N_A,Yes,X2,Yes,No,N_A,N_A,N_A
Foswiki,Yes,ConflictResolution,FullText,X2,Yes,Yes,Yes,Yes,X3,X3,Yes,X3
LunaWiki,PageLocking,FullText,Yes,Yes,No,No,No,Yes,Yes,All,No,No
DrupalWiki,Yes,PageLocking,FullText,Yes,Yes,X2,X3,Yes,Yes,No,Yes,X3
VQWiki,Yes,PageLocking,FullText,Yes,N_A,Yes,Yes,Yes,Yes,No,No,No
CodeBeamer,Yes,PageLocking,FullText,X2,Yes,Yes,Yes,No,Yes,No,Plugin,X3
ProjectForum,No,ConflictResolution,FullText,Yes,N_A,No,Yes,Yes,No,No,Yes,Yes
JSPWiki,Yes,PageLocking,FullText,X4,Yes,Yes,Yes,Yes,Yes,No,Yes,X2
Wikepage,No,No,FullText,X2,N_A,X2,Yes,Yes,N_A,No,Yes,No
Luminotes,Yes,No,En,No,No,No,Yes,No,ConflictDetection,FullText,N_A,N_A
Wikispaces,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yesjavascript
WikiCSharp_NET,N_A,N_A,N_A,Yes,N_A,No,Yes,N_A,Yes,N_A,Yes,N_A
Instiki,Yes,PageLocking,FullText,Yes,No,X2,Yes,Yes,Yes,No,Yes,No
TWiki,Yes,ConflictResolution,FullText,X2,Yes,Yes,Yes,Yes,X3,X3,Yes,X3
TiddlyWiki,X3,ConflictDetection,FullText,Yes,Yes,Yes,Yes,Yes,X3,N_A,Yes,Yes
GitWiki,No,ConflictDetection,FullText,Yes,No,No,Yes,No,X3,No,No,No
Wagn,Yes,No,En,Yes,DiscussionPages,Yes,No,No,ConflictDetection,FullText,No,Yes
MoinMoin,Yes,ConflictResolution,FullText,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ScrewTurnWiki,Yes,PageLocking,FullText,No,No,No,Yes,No,No,No,Yes,Yes
ButorWiki,N_A,N_A,FullText,No,Yes,Yes,No,No,Yes,N_A,All,No
Jacwiki,No,No,No,Yes,No,No,No,No,No,No,No,No
GeniusWiki,Yes,N_A,En,Yes,Threaded,Yes,Yes,Yes,ConflictResolution,FullText,No,No
Zwiki,X2,ConflictDetection,FullText,N_A,N_A,X2,X2,Yes,Yes,No,Yes,N_A
ProntoWiki,N_A,FullText,X2,Yes,No,No,No,X2,No,Some,No,No
ClearWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,WYSIWYGandXHTMLEditing
WikiCrowd,No,ConflictResolution,No,No,X3,No,Yes,No,No,No,No,No
Giki,No,No,X3,Yes,No,X3,No,Yes,No,Optional,No,Complex
PicoWiki,No,N_A,No,No,Yes,Yes,No,No,N_A,N_A,N_A,No
GeboGebo,No,PageLocking,FullText,Yes,N_A,No,Yes,Yes,Yes,No,Yes,N_A
Anwiki,No,PageLocking,N_A,N_A,Yes,No,Yes,Yes,No,No,Yes,Yes
Springnote,N_A,N_A,N_A,X3,N_A,X2,Yes,No,X2,N_A,N_A,N_A
WikyBlog,Yes,PageLocking,FullText,No,Yes,Yes,No,No,Yes,No,Some,No
BoltWire,Yes,ConflictResolution,FullText,Yes,Yes,X2,Yes,Yes,Yes,Yes,Yes,N_A
Wikia,X2,X2,X2,Yes,Yes,Yes,Yes,Yes,N_A,Yes,N_A,Yes
PageWork,Yes,ConflictDetection,FullText,Yes,Yes,Yes,Yes,Yes,Yes,X2,Yes,No
Wetpaint,No,No,No,No,Yes,No,N_A,N_A,No,No,N_A,N_A
ZohoWiki,N_A,N_A,N_A,N_A,Yes,N_A,N_A,N_A,N_A,Yes,X2,Notallowed
IkeWiki,No,No,FullText,No,Yes,Yes,No,No,Yes,No,Some,No
Riki,No,No,FullText,N_A,N_A,No,Yes,Yes,No,No,Yes,N_A
ConnectedText,Yes,No,FullText,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
TikiWikiCMSGroupware,Yes,ConflictDetection,FullText,Yes,Yes,X2,Yes,Yes,Yes,No,Yes,Yes
Netcipia,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Velocity
X3FWiki,X4,PageLocking,FullText,X2,Yes,No,Yes,Yes,Yes,X2,Yes,Yes
FlexWiki,Yes,ConflictDetection,FullText,Yes,Yes,No,Yes,No,Yes,Yes,Plugin,No
WikiToolkit,ConflictDetection,FullText,X2,X3,Yes,X3,X3,No,No,All,N_A,N_A
CentralDesktop,N_A,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Html_css_templating
MiniWiki,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
MojoMojo,Yes,ConflictResolution,FullText,No,No,No,Yes,Yes,N_A,N_A,Yes,N_A
JAMWiki,Yes,ConflictDetection,FullText,N_A,N_A,No,Yes,No,Yes,No,Yes,No
Pimki,PageLocking,FullText,Yes,Yes,Yes,Yes,N_A,Yes,N_A,All,X2,Simple
Friki,FullText,Yes,Yes,Yes,Yes,No,X2,No,No,No,Complex,X2
Daisy,No,PageLocking,FullText,No,N_A,Yes,N_A,No,Yes,N_A,All,No
CorendalWiki,No,No,FullText,No,Yes,No,Yes,Yes,No,No,Yes,Yes
Wikidot,Yes,Yes,Enpl,Yes,Threaded,Yes,Yes,Yes,PageLocking,FullText,Yes,Yes
Confluence,Yes,No,Dadeelenesfifrhujakoptruswzhzhtw,Yes,Threaded,Yes,Yes,X3,ConflictResolution,FullText,Yes,X3
