Identifior,Preview,MinorChanges,ChangeSummary,PageHistory,PageRevisions,RevisionDiffs,PageIndex,PluginSystem
WackoWiki,Yes,No,N_A,Bgdadeelenesetfritmonlplptru,Yes,Flat,X3,Yes
MetadotWiki,No,Yes,No,All,No,Simplecomplex,No,No
LionWiki,Yes,Yes,No,Arcsdeeneoesfifrhehrhuitnlptbrruskzhtw,No,Plugin,No,No
Oddmuse,Yes,Yes,X2,Bgdeesfifrheitkonlplptrorusrsvukzhzhtw,X3,DiscussionPages,X3,X3
ErfurtWiki,Yes,No,X4,Deenesnl,X3,Plugin,Yes,No
Telepark_wiki,Yes,Yes,Yes,N_A,Yes,Flat,N_A,N_A
Pier,N_A,N_A,X2,N_A,No,No,N_A,Yes
PAUX,Yes,Yes,No,Deenfr,Yes,DiscussionPages,Yes,Yes
TrikiWiki,Yes,Yes,No,Deenesfiit,No,Plugin,X2,No
SharePointWikiPlus,Yes,Yes,Yes,Yes,Threaded,Yes,No,X2
Swirrl,Yes,No,Yes,No,No,Some,No,Simplecomplex
JOTWiki,Yes,N_A,N_A,Yes,Flat,No,Yes,No
WiGit,Yes,No,N_A,No,No,No,No,No
Cospire,Yes,N_A,Some,Yes,Simple,N_A,N_A,N_A
WikiDoc,No,No,Endeczsl,No,No,Yes,Yes,No
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PortiliTeamWiki,No,No,No,En,No,Flat,No,No
WikiASP,Yes,No,N_A,No,N_A,N_A,N_A,N_A
Clearspace,Yes,Yes,No,En,Yes,Threaded,Yes,Yes
PmWiki,Yes,Yes,N_A,Brcadaeleneoesfafifrhuitjaltmknlnoplptrorusisksvtatrvi,X2,Plugin,Yes,Yes
BrainKeeper,No,Yes,Yes,Some,No,Simplecomplex,N_A,N_A
Ikiwiki,Yes,Yes,Yes,En,Yes,DiscussionPages,X3,Yes
BLADEWiki,No,Yes,N_A,N_A,No,No,No,No
Wicked,No,Yes,Yes,Deenesfijaslukzh,Yes,No,No,No
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Yes,Yes,Yes,Deenfrja,Yes,Threaded,Yes,Yes
Incentive,Yes,Yes,Yes,Yes,Unlimited,Betweenall,Yes,Yes
WalaWiki,N_A,No,En,No,Flat,X2,No,No
WikiSH,No,N_A,No,No,No,No,No,No
PhpWiki,Yes,Yes,No,Deenesfritjanlsvzhtw,Yes,Plugin,Yes,No
Sycamore,No,Yes,No,En,No,Flat,X4,Yes
MicKI,No,No,No,En,X2,No,No,No
PersonalPPCWiki,N_A,N_A,En,No,No,N_A,Yes,N_A
Foswiki,Yes,Yes,No,Bgcsdadeenesfifritjakonlnoplptptbrrusvukzhzhtw,Yes,Plugin,X3,Yes
LunaWiki,Yes,No,En,Yes,No,No,Yes,Yes
DrupalWiki,Yes,Yes,Yes,Bgdeenfrhuitnlplptruukzh,Yes,DiscussionPages,Yes,Yes
VQWiki,Yes,Yes,X2,Deenesfritnlnoplsv,Yes,No,No,No
CodeBeamer,Yes,Yes,No,En,Yes,Threaded,Yes,Yes
ProjectForum,Yes,Yes,N_A,En,Yes,Flat,Yes,No
JSPWiki,Yes,Yes,Yes,Brdeenesfifritnlruzh,X3,Flat,Yes,No
Wikepage,No,Yes,N_A,N_A,No,No,No,No
Luminotes,Yes,No,No,Yes,Unlimited,Betweenall,Yes,No
Wikispaces,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Complex
WikiCSharp_NET,No,N_A,N_A,En,N_A,N_A,N_A,N_A
Instiki,No,Yes,Yes,En,No,No,Yes,No
TWiki,Yes,Yes,No,Bgcsdadeenesfifritjakonlplptrusvukzhzhtw,Yes,Threaded,Yes,Yes
TiddlyWiki,Yes,Yes,Yes,N_A,X3,Plugin,Yes,X3
GitWiki,Yes,Yes,X2,Deen,No,No,No,No
Wagn,No,No,No,Yes,Unlimited,Tocurrent,Yes,No
MoinMoin,Yes,Yes,Yes,N_A,Yes,DiscussionPages,Yes,No
ScrewTurnWiki,Yes,Yes,No,Deenesfafrhuitnoptbrroruslsrtrukzhzhtw,Yes,Threaded,Yes,Yes
ButorWiki,N_A,N_A,N_A,En,X2,Threaded,X2,X2
Jacwiki,Yes,No,En,No,No,No,No,No
GeniusWiki,Yes,Yes,Yes,Yes,Unlimited,Betweenall,Yes,Yes
Zwiki,Yes,Yes,X2,N_A,Yes,Flat,No,No
ProntoWiki,N_A,N_A,En,No,No,X2,No,No
ClearWiki,No,No,Yes,Yes,N_A,All,N_A,Simplecomplex
WikiCrowd,Yes,Yes,Yes,Enru,No,No,No,No
Giki,Yes,X2,Enfideites,X3,No,No,No,X3
PicoWiki,Yes,No,Some,N_A,Simple,N_A,Yes,No
GeboGebo,Yes,No,No,Deen,Yes,DiscussionPages,No,Yes
Anwiki,Yes,Yes,Yes,Deenesfrit,No,No,N_A,Yes
Springnote,N_A,Yes,N_A,N_A,Plugin,X3,Simple,N_A
WikyBlog,Yes,Yes,No,Zhenfrjatr,No,Threaded,Yes,Yes
BoltWire,Yes,Yes,Yes,Deenitsvzhzhtw,Yes,Threaded,Yes,Yes
Wikia,Yes,No,Some,Yes,Simplecomplex,X2,X2,X2
PageWork,Yes,Yes,X2,Deen,No,DiscussionPages,Yes,Yes
Wetpaint,Yes,No,Yes,N_A,Yes,No,N_A,Simplecomplex
ZohoWiki,N_A,N_A,Yes,Yes,Yes,All,Yes,Simple
IkeWiki,N_A,Yes,No,En,No,Threaded,Yes,Yes
Riki,N_A,N_A,N_A,N_A,No,No,No,No
ConnectedText,Yes,Yes,No,Dadeenitpt,No,Flat,Yes,No
TikiWikiCMSGroupware,Yes,Yes,Yes,Bgcacsdadeeleneoeseufafifrglhehrhuiditjakonlnoplptptbrruskslsrsvukzhzhtw,Yes,Threaded,Yes,Yes
Netcipia,Yes,No,Yes,No,No,All,No,Complex
X3FWiki,No,Yes,No,En,X2,Flat,Yes,Yes
FlexWiki,Yes,Yes,N_A,En,Yes,No,Yes,Yes
WikiToolkit,Yes,X2,N_A,X3,Plugin,X3,X3,X3
CentralDesktop,Yes,Yes,Yes,Yes,N_A,Some,No,Simplecomplex
MiniWiki,Yes,Yes,No,En,No,No,No,Yes
MojoMojo,Yes,Yes,N_A,Cadeenesfritjakonoplru,No,Plugin,Yes,Yes
JAMWiki,No,Yes,No,Dadeenesfrglhrhuitjanlnoplptptbrrusisksvukzhzhtw,No,DiscussionPages,Yes,Yes
Pimki,Yes,Yes,En,No,No,Yes,Yes,Yes
Friki,N_A,N_A,No,No,N_A,N_A,N_A,No
Daisy,Yes,Yes,N_A,Enfresnlgeru,Yes,Flat,Yes,Yes
CorendalWiki,Yes,Yes,Yes,En,Yes,Flat,Yes,Yes
Wikidot,Yes,Yes,Yes,Yes,Unlimited,Betweenall,Yes,No
Confluence,Yes,Yes,Yes,Yes,Unlimited,Betweenall,Yes,Yes
